ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,AQI_Category
2017-07-19,257.8759062169747,39.41697867324268,219.9699480809414,257.8759062169747,257.8759062169747,-127.71732690544965,-127.71732690544965,-127.71732690544965,1.0398185295798459,1.0398185295798459,1.0398185295798459,-128.75714543502949,-128.75714543502949,-128.75714543502949,0.0,0.0,0.0,130.15857931152507,Moderate
2017-07-20,257.72931560617087,48.66181630426747,224.98605109769522,257.72931560617087,257.72931560617087,-125.44092863469054,-125.44092863469054,-125.44092863469054,3.86198013200048,3.86198013200048,3.86198013200048,-129.30290876669102,-129.30290876669102,-129.30290876669102,0.0,0.0,0.0,132.28838697148035,Moderate
2017-07-21,257.5827249953671,48.84732816706775,223.4252662390919,257.5827249953671,257.5827249953671,-123.38195873646484,-123.38195873646484,-123.38195873646484,6.4826679697334635,6.4826679697334635,6.4826679697334635,-129.8646267061983,-129.8646267061983,-129.8646267061983,0.0,0.0,0.0,134.20076625890223,Moderate
2017-07-22,257.43613438456316,41.38711274805169,214.4428357035884,257.43613438456316,257.43613438456316,-129.09726428514935,-129.09726428514935,-129.09726428514935,1.3567580495036298,1.3567580495036298,1.3567580495036298,-130.454022334653,-130.454022334653,-130.454022334653,0.0,0.0,0.0,128.3388700994138,Moderate
2017-07-23,257.2895437737593,30.11017507794536,209.83505953763375,257.2895437737593,257.2895437737593,-134.41206390992545,-134.41206390992545,-134.41206390992545,-3.3323549946687456,-3.3323549946687456,-3.3323549946687456,-131.07970891525667,-131.07970891525667,-131.07970891525667,0.0,0.0,0.0,122.87747986383386,Moderate
2017-07-24,257.1429531629555,25.11352441959274,206.24849680442523,257.1429531629555,257.1429531629555,-137.88360357138228,-137.88360357138228,-137.88360357138228,-6.136635007697887,-6.136635007697887,-6.136635007697887,-131.74696856368442,-131.74696856368442,-131.74696856368442,0.0,0.0,0.0,119.25934959157323,Moderate
2017-07-25,256.9963625521516,30.59370542299991,212.12561797499185,256.9963625521516,256.9963625521516,-135.7298589736298,-135.7298589736298,-135.7298589736298,-3.2722346784583456,-3.2722346784583456,-3.2722346784583456,-132.45762429517146,-132.45762429517146,-132.45762429517146,0.0,0.0,0.0,121.26650357852179,Moderate
2017-07-26,256.84977194134774,42.504332366987406,212.36012843012622,256.84977194134774,256.84977194134774,-132.17019003350924,-132.17019003350924,-132.17019003350924,1.03981852958382,1.03981852958382,1.03981852958382,-133.21000856309306,-133.21000856309306,-133.21000856309306,0.0,0.0,0.0,124.6795819078385,Moderate
2017-07-27,256.70318133054394,39.45651163401556,215.87184490571667,256.70318133054394,256.70318133054394,-130.13704873031074,-130.13704873031074,-130.13704873031074,3.861980132005152,3.861980132005152,3.861980132005152,-133.99902886231587,-133.99902886231587,-133.99902886231587,0.0,0.0,0.0,126.5661326002332,Moderate
2017-07-28,256.5565907197401,47.88345470965578,213.97844228299087,256.5565907197401,256.5565907197401,-128.33366045548368,-128.33366045548368,-128.33366045548368,6.482667969731953,6.482667969731953,6.482667969731953,-134.81632842521563,-134.81632842521563,-134.81632842521563,0.0,0.0,0.0,128.2229302642564,Moderate
2017-07-29,256.41000010893623,36.816955382601655,209.50784202554146,256.41000010893623,256.41000010893623,-134.29377950706498,-134.29377950706498,-134.29377950706498,1.356758049511551,1.356758049511551,1.356758049511551,-135.65053755657652,-135.65053755657652,-135.65053755657652,0.0,0.0,0.0,122.11622060187125,Moderate
2017-07-30,256.2634094981324,30.45825540526919,208.47101088390207,256.2634094981324,256.2634094981324,-139.8199637930408,-139.8199637930408,-139.8199637930408,-3.3323549946600717,-3.3323549946600717,-3.3323549946600717,-136.48760879838073,-136.48760879838073,-136.48760879838073,0.0,0.0,0.0,116.44344570509156,Moderate
2017-07-31,256.1168188873285,21.110197807127474,199.09462481556415,256.1168188873285,256.1168188873285,-143.44786195697597,-143.44786195697597,-143.44786195697597,-6.136635007700969,-6.136635007700969,-6.136635007700969,-137.311226949275,-137.311226949275,-137.311226949275,0.0,0.0,0.0,112.66895693035255,Moderate
2017-08-01,255.97022827652467,24.027966826381572,197.82616439874795,255.97022827652467,255.97022827652467,-141.3755177183001,-141.3755177183001,-141.3755177183001,-3.2722346784567704,-3.2722346784567704,-3.2722346784567704,-138.10328303984332,-138.10328303984332,-138.10328303984332,0.0,0.0,0.0,114.59471055822456,Moderate
2017-08-02,255.82363766572078,29.26636063382415,207.68114064168392,255.82363766572078,255.82363766572078,-137.80458120338818,-137.80458120338818,-137.80458120338818,1.0398185295877944,1.0398185295877944,1.0398185295877944,-138.84439973297597,-138.84439973297597,-138.84439973297597,0.0,0.0,0.0,118.0190564623326,Moderate
2017-08-03,255.67704705491695,26.396342683689376,211.23745000912376,255.67704705491695,255.67704705491695,-135.65251418655762,-135.65251418655762,-135.65251418655762,3.8619801319879397,3.8619801319879397,3.8619801319879397,-139.51449431854556,-139.51449431854556,-139.51449431854556,0.0,0.0,0.0,120.02453286835933,Moderate
2017-08-04,255.53045644411313,33.775325647194165,209.76490111636724,255.53045644411313,255.53045644411313,-133.61069656519427,-133.61069656519427,-133.61069656519427,6.48266796973448,6.48266796973448,6.48266796973448,-140.09336453492875,-140.09336453492875,-140.09336453492875,0.0,0.0,0.0,121.91975987891885,Moderate
2017-08-05,255.38386583330927,32.07157399782902,210.99258923763153,255.38386583330927,255.38386583330927,-139.20452384856125,-139.20452384856125,-139.20452384856125,1.3567580495061726,1.3567580495061726,1.3567580495061726,-140.56128189806742,-140.56128189806742,-140.56128189806742,0.0,0.0,0.0,116.17934198474802,Moderate
2017-08-06,255.2372752225054,33.12227289193322,199.4743266220702,255.2372752225054,255.2372752225054,-144.23193205737851,-144.23193205737851,-144.23193205737851,-3.3323549946642994,-3.3323549946642994,-3.3323549946642994,-140.89957706271423,-140.89957706271423,-140.89957706271423,0.0,0.0,0.0,111.00534316512687,Moderate
2017-08-07,255.09068461170156,21.61789405264621,201.96774661207786,255.09068461170156,255.09068461170156,-147.22783698983963,-147.22783698983963,-147.22783698983963,-6.136635007704046,-6.136635007704046,-6.136635007704046,-141.09120198213557,-141.09120198213557,-141.09120198213557,0.0,0.0,0.0,107.86284762186193,Moderate
2017-08-08,254.9440940008977,23.30825458696457,202.65417492509368,254.9440940008977,254.9440940008977,-144.39348893963262,-144.39348893963262,-144.39348893963262,-3.2722346784500256,-3.2722346784500256,-3.2722346784500256,-141.1212542611826,-141.1212542611826,-141.1212542611826,0.0,0.0,0.0,110.55060506126509,Moderate
2017-08-09,254.79750339009382,26.23933388704741,209.49886200738277,254.79750339009382,254.79750339009382,-139.93763156540302,-139.93763156540302,-139.93763156540302,1.039818529583691,1.039818529583691,1.039818529583691,-140.97745009498672,-140.97745009498672,-140.97745009498672,0.0,0.0,0.0,114.8598718246908,Moderate
2017-08-10,254.65091277929,28.66026854795773,205.05111576325365,254.65091277929,254.65091277929,-136.7885533898616,-136.7885533898616,-136.7885533898616,3.8619801319926124,3.8619801319926124,3.8619801319926124,-140.6505335218542,-140.6505335218542,-140.6505335218542,0.0,0.0,0.0,117.8623593894284,Moderate
2017-08-11,254.50432216848617,26.206535169394797,209.50532266335367,254.50432216848617,254.50432216848617,-133.65194338795268,-133.65194338795268,-133.65194338795268,6.482667969732969,6.482667969732969,6.482667969732969,-140.13461135768569,-140.13461135768569,-140.13461135768569,0.0,0.0,0.0,120.85237878053348,Moderate
2017-08-12,254.3577315576823,26.919317053805184,204.79301296168765,254.3577315576823,254.3577315576823,-138.07064702569681,-138.07064702569681,-138.07064702569681,1.3567580495021343,1.3567580495021343,1.3567580495021343,-139.42740507519892,-139.42740507519892,-139.42740507519892,0.0,0.0,0.0,116.2870845319855,Moderate
2017-08-15,253.91795972527078,22.98042225163236,202.15032787011214,253.91795972527078,253.91795972527078,-139.4644962239845,-139.4644962239845,-139.4644962239845,-3.272234678461198,-3.272234678461198,-3.272234678461198,-136.1922615455233,-136.1922615455233,-136.1922615455233,0.0,0.0,0.0,114.45346350128628,Moderate
2017-08-16,253.77136911446692,33.59665643352834,208.29008959639617,253.77136911446692,253.77136911446692,-133.7332973942183,-133.7332973942183,-133.7332973942183,1.0398185295830926,1.0398185295830926,1.0398185295830926,-134.7731159238014,-134.7731159238014,-134.7731159238014,0.0,0.0,0.0,120.03807172024861,Moderate
2017-08-17,253.62477850366304,39.16895638527147,208.67409574572457,253.62477850366304,253.62477850366304,-129.345891271561,-129.345891271561,-129.345891271561,3.8619801319942155,3.8619801319942155,3.8619801319942155,-133.2078714035552,-133.2078714035552,-133.2078714035552,0.0,0.0,0.0,124.27888723210205,Moderate
2017-08-18,253.4781878928592,38.24351064886592,220.59231284692893,253.4781878928592,253.4781878928592,-125.03336131057512,-125.03336131057512,-125.03336131057512,6.48266796973146,6.48266796973146,6.48266796973146,-131.51602928030658,-131.51602928030658,-131.51602928030658,0.0,0.0,0.0,128.4448265822841,Moderate
